,ts,open,high,low,close,vol,datetime,move_pct,abs_move
5220,1722859200000,115.97,118.64,111.48,111.83,1041232.683,2024-08-05 12:00:00,-0.03569888764335605,0.03569888764335605
2560,1713283200000,127.61,132.39,126.4,132.15,737527.77,2024-04-16 16:00:00,0.03557714912624407,0.03557714912624407
5878,1725228000000,133.86,133.99,128.0,129.11,301878.188,2024-09-01 22:00:00,-0.03548483490213656,0.03548483490213656
7440,1730851200000,166.63,173.09,166.4,172.53,375438.67,2024-11-06 00:00:00,0.03540778971373706,0.03540778971373706
1796,1710532800000,183.28,183.39,175.25,176.84,680984.05,2024-03-15 20:00:00,-0.0351374945438673,0.0351374945438673
1785,1710493200000,167.21,174.09,164.5,173.08,1241375.99,2024-03-15 09:00:00,0.03510555588780578,0.03510555588780578
610,1706263200000,87.47,90.95,87.33,90.54,489562.71,2024-01-26 10:00:00,0.03509774779924554,0.03509774779924554
5294,1723125600000,154.17,160.42,153.78,159.58,551070.952,2024-08-08 14:00:00,0.035091133164688496,0.035091133164688496
2473,1712970000000,151.61,151.62,145.47,146.35,527073.94,2024-04-13 01:00:00,-0.034694281379856334,0.034694281379856334
4463,1720134000000,132.45,132.56,127.2,127.86,481276.448,2024-07-04 23:00:00,-0.03465458663646651,0.03465458663646651
1413,1709154000000,112.24,116.4,111.46,116.09,595509.28,2024-02-28 21:00:00,0.03430149679258739,0.03430149679258739
4477,1720184400000,128.79,133.53,128.36,133.19,319952.741,2024-07-05 13:00:00,0.03416414317881828,0.03416414317881828
8128,1733328000000,233.73,234.04,224.82,225.76,416423.866,2024-12-04 16:00:00,-0.034099174260899326,0.034099174260899326
214,1704837600000,96.25,100.0,95.77,99.53,432251.76,2024-01-09 22:00:00,0.03407792207792209,0.03407792207792209
449,1705683600000,88.41,91.46,88.06,91.42,598144.2,2024-01-19 17:00:00,0.0340459224069676,0.0340459224069676
5175,1722697200000,151.33,151.99,146.02,146.2,440992.64,2024-08-03 15:00:00,-0.03389942509746926,0.03389942509746926
1765,1710421200000,172.14,172.71,164.0,166.35,738601.78,2024-03-14 13:00:00,-0.033635413035900966,0.033635413035900966
5390,1723471200000,144.3,150.51,143.01,149.14,518426.597,2024-08-12 14:00:00,0.03354123354123337,0.03354123354123337
8273,1733850000000,210.82,211.19,203.7,203.75,517524.257,2024-12-10 17:00:00,-0.03353571767384495,0.03353571767384495
204,1704801600000,101.88,102.38,95.91,98.47,403146.52,2024-01-09 12:00:00,-0.03347074990184527,0.03347074990184527
250,1704967200000,100.5,104.0,100.5,103.86,359522.3,2024-01-11 10:00:00,0.03343283582089552,0.03343283582089552
2514,1713117600000,137.76,143.16,137.31,142.36,656002.28,2024-04-14 18:00:00,0.033391405342625025,0.033391405342625025
5218,1722852000000,119.96,120.3,115.02,115.96,758307.174,2024-08-05 10:00:00,-0.03334444814938313,0.03334444814938313
1550,1709647200000,132.65,138.8,131.63,137.06,1089391.14,2024-03-05 14:00:00,0.03324538258575195,0.03324538258575195
5389,1723467600000,149.25,149.8,143.68,144.3,325226.608,2024-08-12 13:00:00,-0.03316582914572857,0.03316582914572857
6064,1725897600000,128.4,133.25,128.26,132.65,538712.511,2024-09-09 16:00:00,0.033099688473520246,0.033099688473520246
3252,1715774400000,144.19,149.9,143.64,148.96,658637.288,2024-05-15 12:00:00,0.03308135099521472,0.03308135099521472
110,1704463200000,100.78,101.2,96.72,97.45,540684.13,2024-01-05 14:00:00,-0.03304227029172453,0.03304227029172453
1903,1710918000000,167.82,174.31,167.47,173.36,529294.88,2024-03-20 07:00:00,0.03301156000476713,0.03301156000476713
2585,1713373200000,128.3,132.89,128.07,132.53,369607.79,2024-04-17 17:00:00,0.032969602494154246,0.032969602494154246
