,ts,open,high,low,close,vol,datetime,move_pct,abs_move
3858,1749578400000,158.25,164.99,157.75,163.95,408037.371,2025-06-10 18:00:00,0.03601895734597149,0.03601895734597149
2321,1744045200000,103.86,107.98,103.84,107.6,387410.57,2025-04-07 17:00:00,0.03601001347968414,0.03601001347968414
8295,1765551600000,138.47,138.51,132.85,133.49,675688.087,2025-12-12 15:00:00,-0.03596446883801538,0.03596446883801538
4141,1750597200000,133.53,133.77,126.82,128.74,703710.785,2025-06-22 13:00:00,-0.03587208866921285,0.03587208866921285
5942,1757080800000,209.66,209.66,201.62,202.24,617807.28,2025-09-05 14:00:00,-0.035390632452542155,0.035390632452542155
2317,1744030800000,102.96,107.22,100.73,106.6,1043331.742,2025-04-07 13:00:00,0.03535353535353536,0.03535353535353536
3377,1747846800000,173.21,173.99,165.51,167.13,718327.671,2025-05-21 17:00:00,-0.03510189942843954,0.03510189942843954
9191,1768777200000,142.86,142.86,137.74,137.87,407539.601,2026-01-18 23:00:00,-0.03492930141397178,0.03492930141397178
644,1738008000000,226.54,235.2,226.48,234.4,256637.516,2025-01-27 20:00:00,0.034695859450869664,0.034695859450869664
1393,1740704400000,135.98,136.75,130.33,131.29,695090.715,2025-02-28 01:00:00,-0.03449036623032797,0.03449036623032797
2312,1744012800000,97.14,101.6,96.93,100.49,699861.653,2025-04-07 08:00:00,0.034486308420835846,0.034486308420835846
1645,1741611600000,129.42,129.64,124.8,125.0,294772.296,2025-03-10 13:00:00,-0.03415237212177397,0.03415237212177397
2487,1744642800000,133.34,133.44,128.12,128.8,416355.891,2025-04-14 15:00:00,-0.034048297585120686,0.034048297585120686
1505,1741107600000,136.24,141.27,136.0,140.86,530211.968,2025-03-04 17:00:00,0.03391074574280684,0.03391074574280684
2298,1743962400000,111.43,111.47,107.25,107.69,852446.144,2025-04-06 18:00:00,-0.033563672260612125,0.033563672260612125
1331,1740481200000,136.73,141.36,134.86,141.28,569232.075,2025-02-25 11:00:00,0.03327726175674696,0.03327726175674696
1651,1741633200000,115.86,120.21,115.49,119.71,424359.336,2025-03-10 19:00:00,0.03322976005523903,0.03322976005523903
771,1738465200000,214.21,215.0,206.83,207.11,514113.469,2025-02-02 03:00:00,-0.03314504458241909,0.03314504458241909
6927,1760626800000,194.03,194.32,186.56,187.61,483929.776,2025-10-16 15:00:00,-0.03308766685564082,0.03308766685564082
5620,1755921600000,198.15,204.95,198.1,204.67,634112.199,2025-08-23 04:00:00,0.03290436537976271,0.03290436537976271
8443,1766084400000,121.54,121.64,117.44,117.56,635632.84,2025-12-18 19:00:00,-0.032746420931380645,0.032746420931380645
6879,1760454000000,195.89,202.64,194.53,202.22,430056.403,2025-10-14 15:00:00,0.03231405380570735,0.03231405380570735
1485,1741035600000,144.48,144.97,139.21,139.82,388663.657,2025-03-03 21:00:00,-0.03225359911406421,0.03225359911406421
1339,1740510000000,140.89,145.57,140.4,145.43,209906.161,2025-02-25 19:00:00,0.03222372063311818,0.03222372063311818
2363,1744196400000,106.87,106.87,102.75,103.43,513052.244,2025-04-09 11:00:00,-0.03218864040422942,0.03218864040422942
7347,1762138800000,183.47,183.67,176.73,177.57,575363.31,2025-11-03 03:00:00,-0.03215784596936832,0.03215784596936832
4169,1750698000000,132.52,137.26,132.26,136.77,376827.883,2025-06-23 17:00:00,0.03207063084817386,0.03207063084817386
479,1737414000000,250.11,250.34,241.51,242.19,295180.583,2025-01-20 23:00:00,-0.03166606693055062,0.03166606693055062
438,1737266400000,266.37,274.9,265.88,274.68,621521.084,2025-01-19 06:00:00,0.0311972068926681,0.0311972068926681
5390,1755093600000,202.5,202.87,195.98,196.21,618981.118,2025-08-13 14:00:00,-0.03106172839506169,0.03106172839506169
444,1737288000000,286.23,289.72,275.22,277.34,1253497.316,2025-01-19 12:00:00,-0.031058938615798632,0.031058938615798632
8015,1764543600000,137.72,137.79,133.26,133.48,312505.189,2025-11-30 23:00:00,-0.03078710426953245,0.03078710426953245
8441,1766077200000,126.86,126.9,120.58,122.97,660882.905,2025-12-18 17:00:00,-0.030663723790004736,0.030663723790004736
9355,1769367600000,121.69,121.87,117.15,117.96,959971.677,2026-01-25 19:00:00,-0.03065165584682393,0.03065165584682393
5869,1756818000000,197.99,204.3,197.81,204.05,481775.32,2025-09-02 13:00:00,0.03060760644476995,0.03060760644476995
